year	hhid	region	zones	woreda	ea	total_valuefert	total_qty_w	real_tpricefert_cens_mrk	formal_credit	informal_credit	ext_acess	ag_rainy_13	filter	num_mem	weight	hh_headage	femhead	attend_sch	mrk_dist_w	worker	safety_net	soil_qty_rev2	hh_s6bq04	hh_s6aq02	asset	hhasset_value	hhasset_value_w	real_hhvalue	land_holding	median_mrk	median_price	median_age	median_soil	ag_rainy_15	ag_rainy_18	mrk_dist	s5bq02	s5bq09	ag_rainy_21	s7q02	s7q04
2013	010206088801301081	1	2	6	10206089052160	1437	53	28.200001	0	0	1	1	Matched (3)	9	3292.635498046875	47	0	0	21	5	1	2	9263	433	Matched (3)	9696	9696	9696	1.624046	8	15	46	2								
2013	010206088801301097	1	2	6	10206089052160	3200	196	19.200001	0	0	1	1	Matched (3)	2	3292.635498046875	78	0	0	21	1	0	1	1950	25	Matched (3)	1975	1975	1975	2.8743043	8	15	46	2								
2013	010206088801301112	1	2	6	10206089052160	171	12	14.3	0	0	1	1	Matched (3)	1		46	0	0	8	0	0	2				0	93	93	.48795578	8	15	46	2								
2013	010206088801301136	1	2	6	10206089052160	0	0	14.078462	0	0	0	1	Matched (3)	4	178.9475860595703	44	0	1	21	2	1	1	5606	196	Matched (3)	5802	5802	5802	.18530218	8	15	46	2								
2013	010207010100101027	1	2	7	10207009701888	906	65	14.078462	1	0	1	1	Matched (3)	6	1940.819458007813	44	1	1	21	2	0	2	1183	206	Matched (3)	1389	1389	1389	.25737721	8	15	46	2								
2013	010207010100101087	1	2	7	10207009701888	0	0	14.078462	0	1	1	1	Matched (3)	6	1940.819458007813	44	0	1	21	3	0	2	3337	257	Matched (3)	3594	3594	3594	.38203579	8	15	46	2								
2013	010207010100101297	1	2	7	10207009701888	0	0	14.078462	0	0	0	1	Matched (3)	4	1940.819458007813	44	1	0	21	1	1	2	1945	187	Matched (3)	2132	2132	2132	.065228	8	15	46	2								
2013	010207010100101357	1	2	7	10207009701888	0	0	14.078462	0	0	1	1	Matched (3)	1		46	0	0	8	0	0	2				0	93	93	.065228	8	15	46	2								
2013	010208088800603004	1	2	8	10208088686592	0	0	14.078462	0	0	1	1	Matched (3)	9	5119.2177734375	75	0	0	21	6	1	2	4692	402	Matched (3)	5094	5094	5094	1.18769	8	15	46	2								
2013	010208088800603019	1	2	8	10208088686592	176	13	14.078462	0	1	1	1	Matched (3)	4	5119.2177734375	52	1	0	21	3	1	2	1381	24	Matched (3)	1405	1405	1405	.36574998	8	15	46	2								
2013	010208088800603029	1	2	8	10208088686592	180	13	14.078462	0	0	1	1	Matched (3)	5	5119.2177734375	78	0	0	21	4	1	2	2240	20	Matched (3)	2260	2260	2260	.45278299	8	15	46	2								
2013	010208088800603034	1	2	8	10208088686592	0	0	14.078462	0	1	1	1	Matched (3)	7	5119.2177734375	44	0	0	21	2	0	2	1178	11	Matched (3)	1189	1189	1189	.53025317	8	15	46	2								
2013	010208088800603049	1	2	8	10208088686592	693	50	14.078462	0	1	1	1	Matched (3)	9	5119.2177734375	46	0	0	21	6	1	2	4745	38	Matched (3)	4783	4783	4783	.96394598	8	15	46	2								
